label,SciName,PreyType,h_hrs.per.kg,encounter.rate,pcnt_protein,pcnt_carbs,pcnt_lipids,starchtype
deer,Odocoileus hemionus,large game,0.08,0.03,21.78,0,7.13,N
pronghorn,Antilocapra americana,large game,0.06,0.25,22.38,0,2.03,N
bighorn,Ovis canadensis,large game,0.055,0.425,20.6,0,2.31,N
pinyon_mon,Pinus monophylla,nut,4.5,6.85,8.3,22,57,S
oak_gambel,Quercus gambelii,nut,3.4,9.1,1.59,10.54,6.17,S
camas,Camassia quamash,root,2.7,5.9,4.97,30.73,0,U
canbys_biscuitroot,Lomatium canbyi,root,2.7,5.9,2.5,28,0,U
sego_lily,Calochortus nutalli,root,13.42,5.9,1.75,21.3,0,U
common_yampah,Perideridia gairdneri,root,0.75,5.9,6.35,91.52,1.61,U
cous_biscuitroot,Lomatium cous,root,2.7,5.9,1,30,0,U
henderson_biscuitroot,Lomatium hendersonii,root,2.7,5.9,2.17,43.45,0,U
bitteroot,Lewisia rediviva,root,2.7,5.9,10,85,1,U
bulrush_roots,Schoenoplectus spp,root,2.1,16.25,0.2,15.4,0.3,U
bulbous_springparsley,Cymopterus bulbosis,root,0.78,5.9,1.87,26.2,0.63,U
textile_onion,Allium textile,root,2.7,5.9,2.83,20.2,0.18,U
pickleweed,Allenrolfea or Salicornia ,seed,16.2,1.7,27.28,50.37,10.13,S
bulrush_seeds,Schoenoplectus spp,seed,3.4,9.55,6.5,56.9,6.3,S
sedge,Carex spp,seed,12.8,1.75,10.6,54.9,0.3,S
shadscale,Atriplex confertifolia,seed,2.7,5.9,3.9,67.9,0.01,S
tansymustard,Descurainia pinnata,seed,2.8,2,27.2,63.3,0.05,S
rice_grass,Achnatherum hymenoides,seed,6.9,2.2,15.2,53.9,0.1,S
salina_wild_rye,Leymus salinus,seed,2.6,7,12.5,55.9,0.6,S
saltgrass,Destichlis spicata,seed,15.8,0.55,6.2,58,0.4,S
scratchgrass,Muhlenbergia asperifolia ,seed,9.4,1.55,10.9,50,0.3,S
foxtail_barley,Hordeum jubatum,seed,11.2,1.3,13.4,64,0.3,S
gb_wild_rye,Leymus cinereus,seed,5.9,2.65,8.8,59.3,1.4,S
bluegrass,Poa spp,seed,6.8,1.55,10.9,73.5,0.4,S
sunflower,Helianthus spp,seed,7.2,2.15,15.9,69.6,3,S
fourwing_saltbush,Atriplex canescens,seed,2.5,6.4,7.7,69.3,0.01,S
sage_grouse,Centrocercus urophasianus,small game,0.246,0.8531,25.94,0,0.88,N
cottontail_rabbit,"Sylvilagus spp, Brachylagus idahoensis",small game,0.1263,0.3267,21.79,0,2.32,N
jackrabbit,Lepus spp,small game,0.0861,0.3978,21.79,0,2.32,N
duck,Anatidae,small game,0.369,0.5688,17.42,0,15.2,N
ground_squirrel,Thomomys sp.,small game,0.185,0.775,21.23,0,3.21,N
